idProduct,,,,caracteristique,price,rating
1640816996-943,,,,Dynamic Haltère Musculation kit 20 Kg,450.00 Dhs,3.8
1640816097-719,,,,Water Aerobics Dumbbell D EVA Foam Barbell Fitness Swimming,209.00 Dhs,null
1640816800-872,,,,Gymnastic Rings Fitness D Gym Rings Birch Wood with Adjustab,959.00 Dhs,null
1640816187-739,,,,Electric Muscle Training Machine Abdominal Arm Muscle,130.00 Dhs,null
1640816786-868,,,,Domyos Gilet Lesté De Musculation Et Cross Training 10 Kg Homme Et Femme,649.00 Dhs,null
1640816359-792,,,,30KG Weighted Lifting Bulgarian Sandbag Boxing Fitness  15KG,319.00 Dhs,null
1640816982-938,,,,Dumbbell Stand D Rack Bracket Weight Holder Exercise Tools H,169.00 Dhs,null
1640815534-516,,,,Foam Padded D Barbell Bar Cover Pad Weight Lifting Shoulder,169.00 Dhs,null
1640815350-449,,,,Dumbbell Stand Rack D Bracket Weight Holder Exercise Tools H,219.00 Dhs,null
1640815412-472,,,,Dynamic Barre fixe Longueur charge maximale 140kg,148.00 Dhs,null
1640816278-771,,,,5 In 1 Hand Grip Strengthener Set Workout Finger Exerc Green,249.00 Dhs,null
1640815449-484,,,,4 sizes Boxing Fitness Wall Punch Bag Training Squa 20x20x10,209.00 Dhs,null
1640816516-816,,,,HALTERE GYM PVC 2*3 KG,249.00 Dhs,null
1640816730-848,,,,"Beauty Body Smart Fitness, Stimulateur mobile-Gym 6 pack EMS, dos, épaules bon qualite",115.99 Dhs,null
1640816034-697,,,,"Ems Smart fitness 6 pack stimulator EMS, abdominaux, biceps, teiceps, cuisses",68.99 Dhs,3.5
1640816615-826,,,,HALTERES FITNESS 3 KG GRIS,239.00 Dhs,null
1640815429-476,,,,Hip Trainer Exercise D Beautiful Hip Clip  Repair,259.00 Dhs,null
1640815691-575,,,,Gilet de Musculation Et Cross Training 10 Kg Homme Et Femme,779.00 Dhs,null
1640816167-732,,,,Northpacific Set d'haltéres 10kg,349.00 Dhs,3
1640816352-789,,,,Un appareil qui vous aide à faire des exercices abdominaux,125.00 Dhs,null
1640816553-821,,,,Fitness Sit Up Bar Assistant Gym Exercise Set Resistanc Blue,279.00 Dhs,null
1640816672-837,,,,Barre fixe professionnelle de porte,119.00 Dhs,null
1640815688-574,,,,Domyos HALTERES TONEDUMBELL 2*2 Kgs,178.00 Dhs,null
