idProduct,,,,caracteristique,price,rating,marque
1642627655-53,,,,Asus PC portable X543 Celeron 15.6 HD 4G 1T WIN10 STAR GREY,"3,990.00 Dhs",null,Asus
1642627744-87,,,,"Azami Tech Souris Gamer sans fil,rechargeable et silencieuse,Bluetooth éclairage LED RGB+Stickers Gratuit",60.00 Dhs,4.2,Azami Tech
1642627668-58,,,,Meetion Souris de jeu lumineuse RVB,169.00 Dhs,null,Meetion
1642627682-63,,,,Meetion Pack Gaming 4 in 1 Clavier + Casque + Souris de jeu + tapis,550.00 Dhs,null,Meetion
1642627647-50,,,,Epson EcoTank M2120 Monochrome  WiFi Multifonctions(impression/copie/scan),"2,080.00 Dhs",null,Epson
1642627757-92,,,,XIAOMI Wifi Amplificateur Pro Sans Fil Répéteur Wifi  jusqu'à 300 m Global Version,249.00 Dhs,3.8,XIAOMI
1642627676-61,,,,Meetion souris et tapis de jeu filaires GAMING,179.00 Dhs,null,Meetion
1642627705-72,,,,Meetion Meilleur casque de jeu HIFI 7.1 son  rétroéclairé par LED avec micro,270.00 Dhs,null,Meetion
1642627658-54,,,,Polytoner CARTOUCHE  PTH-280A/505A,205.00 Dhs,null,Polytoner
1642627716-76,,,,"Onikuma Casque de Gamer  avec microphone anti bruit ,compatible pour PS4, Xbox One, téléphones , PC",280.00 Dhs,3.8,Onikuma
1642627708-73,,,,Nia Casque Bluetooth Q1 avec Microphone Radio FM support Micro SD / Auxiliaire - noir,96.40 Dhs,4,Nia
1642627697-69,,,,HDMI to VGA Adapter Female Video Converter 1080P,47.00 Dhs,4.4,(37 avis clients vérifiés)
1642627687-65,,,,Meetion Clavier chocolat standard USB,129.00 Dhs,null,Meetion
1642627674-60,,,,"Onikuma Casque de Gamer  avec microphone anti bruit ,compatible pour PS4, Xbox One, téléphones , PC",270.00 Dhs,4,Onikuma
1642627723-79,,,,"Targus Cartable Slim Professional Bag pour ordinateur portable 16 pouces,",165.00 Dhs,4,Targus
1642627671-59,,,,Casque Gaming avec Micro et LED,280.00 Dhs,null,(Pas d'avis disponibles)
1642627684-64,,,,Meetion Souris de jeu rétroéclairée par LED,129.00 Dhs,null,Meetion
1642627694-68,,,,Havit Tapis de souris de jeu GAMER HV-MP838 (Noire/Rouge),35.00 Dhs,3.9,Havit
